Category,Places,location,Latitude,Longitude
Beach,Kanyakumari Beach,"Kanyakumari, Tamil Nadu, India",8.079252,77.5499338
Beach,Neil Island Beach,"Neil Island, Andaman and Nicobar Islands, India",11.83137395,93.04193024
Mountain,Kangchenjunga,Border of Nepal and the Indian state of Sikkim,27.7025,88.146667
Mountain,Annapurna Massif,"Himalayas in Nepal, near Pokhara",28.613889,83.872222
Mountain,Nanda Devi,"Uttarakhand, India",30.0417376,79.089691
Mountain,Mount Everest,On the border of Nepal and Tibet (China),27.988056,86.925278
Mountain,Dhaulagiri,Nepal,-6.4955532,110.8440229
Mountain,Kalsubai,"Akole Taluka, Ahmednagar District, Maharashtra, India",19.601111,73.709167
Mountain,Roopkund,"Chamoli, Uttarakhand, India",30.5,79.5
Mountain,Kedarkantha,"Uttarkashi district, Uttarakhand, India",30.9654214,78.63368731
Mountain,Stok Kangri,"Ladakh, Jammu and Kashmir, India",34.5592226,76.1253083
Mountain,Har Ki Dun,"Uttarkashi district, Uttarakhand, India",30.9654214,78.63368731
Mountain,Valley of Flowers,"Chamoli district, Uttarakhand, India",30.4996323,79.61879246
Mountain,Sar Pass,"Kullu district, Himachal Pradesh, India",31.87697455,77.45033124
Mountain,Sandakphu,"Darjeeling district, West Bengal, India",26.8349002,88.30714958
Mountain,Kang Yatse,"Ladakh, Jammu and Kashmir, India",34.5592226,76.1253083
Mountain,Triund,"Dharamshala, Himachal Pradesh, India",32.2143039,76.3196717
